front,back,frequency,language_code,CEFR_level,type
di,"of, from, than, some/any",8.37,it,A1,vocabulary
il,the,7.9,it,A1,vocabulary
in,in,3.38,it,A1,vocabulary
essere,to be,3.03,it,A1,vocabulary
e,and,2.81,it,A1,vocabulary
che,which,1.7,it,A1,vocabulary
al,to the,1.67,it,A1,vocabulary
da,"from, by, since",1.65,it,A1,vocabulary
a,"to, at, in",1.61,it,A1,vocabulary
un,a,1.24,it,A1,vocabulary
per,to,1.23,it,A1,vocabulary
si,oneself,1.06,it,A1,vocabulary
una,"a, an",1.05,it,A1,vocabulary
con,with,0.93,it,A1,vocabulary
avere,to have,0.91,it,A1,vocabulary
non,not,0.69,it,A1,vocabulary
suo,"his, her, its, your (formal)",0.59,it,A1,vocabulary
su,"on, above, onto, about",0.55,it,A1,vocabulary
questo,"this, this one",0.45,it,A1,vocabulary
come,"how, like",0.45,it,A1,vocabulary
più,"more, plus",0.43,it,A1,vocabulary
anche,"also, too, even",0.38,it,A1,vocabulary
ma,but,0.35,it,A1,vocabulary
venire,to come,0.34,it,A1,vocabulary
fare,"to do, to make",0.32,it,A1,vocabulary
ad,"to, at (before certain words starting with a vowel)",0.31,it,A1,vocabulary
quello,"that, that one",0.31,it,A1,vocabulary
potere,"can, to be able to",0.3,it,A1,vocabulary
altro,"other, another",0.3,it,A1,vocabulary
anno,year,0.29,it,A1,vocabulary
ed,and (in place of 'e' before words beginning with a vowel),0.28,it,A1,vocabulary
o,or,0.27,it,A1,vocabulary
tutto,"all, everything",0.27,it,A1,vocabulary
primo,first,0.26,it,A1,vocabulary
tra,"between, among (position or time)",0.23,it,A1,vocabulary
cui,"which, whom",0.22,it,A1,vocabulary
due,two,0.21,it,A1,vocabulary
dopo,after,0.2,it,A1,vocabulary
d',"of, from (abbreviation of 'di')",0.2,it,A1,vocabulary
parte,"part, side",0.2,it,A1,vocabulary
se,if,0.19,it,A1,vocabulary
molto,"very, much, many",0.19,it,A1,vocabulary
lo,the (masculine singular),0.18,it,A1,vocabulary
solo,"alone, only, just",0.18,it,A1,vocabulary
ci,"us, there",0.16,it,A1,vocabulary
secondo,"second, according to",0.16,it,A1,vocabulary
loro,"their, them",0.16,it,A1,vocabulary
nuovo,new,0.16,it,A1,vocabulary
quale,"which, what",0.15,it,A1,vocabulary
dovere,"must, to have to",0.14,it,A1,vocabulary
uno,one,0.14,it,A1,vocabulary
alcuno,"some, any",0.13,it,A1,vocabulary
dire,"to say, to tell",0.12,it,A1,vocabulary
proprio,"own, exactly",0.12,it,A1,vocabulary
quando,when,0.12,it,A1,vocabulary
poi,"then, later",0.12,it,A1,vocabulary
grande,"big, large, great",0.12,it,A1,vocabulary
vedere,to see,0.11,it,A1,vocabulary
dare,to give,0.11,it,A1,vocabulary
trovare,to find,0.11,it,A1,vocabulary
volta,time,0.11,it,A1,vocabulary
ne,"of it, about it, from there",0.11,it,A1,vocabulary
dove,where,0.11,it,A1,vocabulary
tempo,"time, weather",0.1,it,A1,vocabulary
mentre,"while, whereas",0.1,it,A1,vocabulary
italiano,italian,0.1,it,A1,vocabulary
ultimo,last,0.1,it,A1,vocabulary
sempre,always,0.1,it,A1,vocabulary
nome,name,0.1,it,A1,vocabulary
così,"so, thus, like this/that",0.09,it,A1,vocabulary
città ,city,0.09,it,A1,vocabulary
Italia,Italy,0.09,it,A1,vocabulary
fino,"until, up to",0.09,it,A1,vocabulary
durante,during,0.09,it,A1,vocabulary
ancora,"still, again",0.09,it,A1,vocabulary
gruppo,group,0.09,it,A1,vocabulary
storia,"story, history",0.09,it,A1,vocabulary
andare,to go,0.09,it,A1,vocabulary
prima,"before, first",0.09,it,A1,vocabulary
stesso,same,0.09,it,A1,vocabulary
esterno,"external, outside",0.09,it,A1,vocabulary
ogni,"every, each",0.08,it,A1,vocabulary
diverso,"different, various",0.08,it,A1,vocabulary
poco,"little, few, not much",0.08,it,A1,vocabulary
volere,to want,0.08,it,A1,vocabulary
film,"film, movie",0.08,it,A1,vocabulary
senza,without,0.08,it,A1,vocabulary
vita,life,0.08,it,A1,vocabulary
tre,three,0.08,it,A1,vocabulary
contro,against,0.08,it,A1,vocabulary
portare,"to bring, to carry",0.08,it,A1,vocabulary
già ,already,0.08,it,A1,vocabulary
opera,"work, operation, opera",0.08,it,A1,vocabulary
quindi,"therefore, so, then",0.08,it,A1,vocabulary
noto,"known, noted (can also mean 'famous')",0.08,it,A1,vocabulary
quanto,"how much, how many, as much as",0.08,it,A1,vocabulary
collegamento,"connection, link, relationship",0.07,it,A1,vocabulary
punto,"point, dot, spot",0.07,it,A1,vocabulary
secolo,century,0.07,it,A1,vocabulary
caso,"case, chance, occurrence",0.07,it,A1,vocabulary
figlio,"son, male child",0.07,it,A1,vocabulary
serie,"series, set",0.07,it,A1,vocabulary
giorno,day,0.07,it,A1,vocabulary
perché,"why, because",0.07,it,A1,vocabulary
ora,"now, hour",0.07,it,A1,vocabulary
modo,"way, manner, method",0.07,it,A1,vocabulary
fine,"end, purpose, fine",0.07,it,A1,vocabulary
guerra,war,0.07,it,A1,vocabulary
prendere,"to take, to catch, to get",0.07,it,A1,vocabulary
gli,the,0.07,it,A1,vocabulary
vi,"there, you, to you",0.07,it,A1,vocabulary
la,the,0.07,it,A1,vocabulary
oltre,"beyond, over, besides",0.07,it,A1,vocabulary
successivo,"next, following, subsequent",0.07,it,A1,vocabulary
mondo,world,0.07,it,A1,vocabulary
casa,"house, home",0.06,it,A1,vocabulary
però,"but, however",0.06,it,A1,vocabulary
